,HDifHor,HDirNor,HGloHor,HHorIR,TBlaSky,TDewPoi,TDryBul,TWetBul,ceiHei,cloTim,nOpa,nTot,relHum,solAlt,solDec,solHouAng,solTim,solZen,winDir,winSpe,lat,lon,pAtm
16390800.0,15.064667227061372,10.3105979401227,10.126165538073675,355.4073922492598,281.23848929906,284.43950468437856,293.06161108844356,288.0431697619016,1880.9280938971533,16390800.0,0.22210776144170874,0.22070867706039177,0.5906105592642745,-0.017816833990145498,0.3907530426842981,1188.8456030719356,16391000.753424658,1.588613170467011,1.1325041183597966,4.828945924157965,0.7326892018318176,-1.5344934463500977,101325.0
16394400.0,16.048000596973996,10.983613471462302,10.787142400872218,351.6180879775792,280.5256983090753,283.7988201820687,292.99181083783714,287.6457950121736,1935.0516875802655,16394400.0,0.17133150566114141,0.1698410972340466,0.5638880109133786,0.005165536722091746,0.3906650526882851,1189.1073783979025,16394600.410958905,1.565630803369496,0.8648258300676739,4.939579166778146,0.7326892018318176,-1.5344934463500977,101325.0
16398000.0,17.031333966886617,11.656629002801903,11.44811926367076,347.8287837058986,279.8129073190907,283.15813567975886,292.92201058723066,287.2484202624456,1989.1752812633777,16398000.0,0.12055524988057409,0.11897351740770146,0.5371654625624827,0.028147907434329045,0.39057706269227205,1189.3691537238692,16398200.06849315,1.542648436271981,0.5971475417755512,5.050212409398327,0.7326892018318176,-1.5344934463500977,101325.0
16401600.0,35.04778148703379,11.332828452053679,29.734231435000623,350.83945914490585,280.36798513752143,283.5141859359393,293.0973528857645,287.5107338265197,1950.2283105022832,16401600.0,0.15102100334891444,0.14949406530350856,0.5446020285832828,0.08547248594360808,0.39048615506250567,1189.630929049836,16401799.726027397,1.4853238569547051,0.6288598677883409,5.079358971826562,0.7326892018318176,-1.5344934463500977,101325.0
16405200.0,57.32250754473961,10.759823880783498,52.42662743346332,355.550129511585,281.24003015805596,284.1194198817423,293.3339808215834,287.93796946904433,1888.013698630137,16405200.0,0.20179725912948177,0.20036164512985372,0.5605783731970069,0.15138261640214756,0.39039451802430086,1189.8927043758026,16405399.383561645,1.4194137245824892,0.735419847377359,5.08813386420681,0.7326892018318176,-1.5344934463500977,101325.0
16408800.0,79.59723360244541,10.186819309513318,75.11902343192601,360.26079987826415,282.11207517859054,284.7246538275453,293.5706087574022,288.3652051115689,1825.7990867579908,16408800.0,0.2525735149100491,0.2512292249561989,0.576554717810731,0.21729274686068703,0.3903028809860961,1190.1544797017693,16408999.04109589,1.3535035922102732,0.8419798269663772,5.096908756587059,0.7326892018318176,-1.5344934463500977,101325.0
16412400.0,101.87195966015123,9.613814738243137,97.81141943038871,364.9714702449433,282.98412019912513,285.32988777334833,293.8072366932211,288.79244075409355,1763.5844748858449,16412400.0,0.3033497706906164,0.3020968047825441,0.5925310624244551,0.2832028773192265,0.39021124394789136,1190.4162550277363,16412598.698630137,1.2875934598380572,0.9485398065553953,5.105683648967307,0.7326892018318176,-1.5344934463500977,101325.0
16416000.0,124.14668571785705,9.040810166972957,120.5038154288514,369.68214061162246,283.85616521965966,285.9351217191513,294.04386462904,289.2196763966181,1701.3698630136987,16416000.0,0.35412602647118374,0.3529643846088893,0.6085074070381792,0.349113007777766,0.39011960690968656,1190.678030353703,16416198.356164383,1.2216833274658412,1.0550997861444134,5.114458541347556,0.7326892018318176,-1.5344934463500977,101325.0
16419600.0,146.42141177556286,8.467805595702776,143.1962114273141,374.39281097830155,284.72821024019424,286.54035566495435,294.2804925648589,289.64691203914276,1639.1552511415525,16419600.0,0.40490228225175107,0.40383196443523445,0.6244837516519033,0.41502313823630543,0.3900279698714818,1190.9398056796697,16419798.01369863,1.1557731950936252,1.1616597657334315,5.123233433727805,0.7326892018318176,-1.5344934463500977,101325.0
16423200.0,168.6961378332687,7.894801024432596,165.8886074257768,379.10348134498076,285.60025526072883,287.1455896107573,294.5171205006778,290.0741476816674,1576.9406392694063,16423200.0,0.4556785380323184,0.45469954426157966,0.6404600962656274,0.48093326869484493,0.38993633283327706,1191.2015810056364,16423397.671232877,1.0898630627214092,1.2682197453224495,5.1320083261080525,0.7326892018318176,-1.5344934463500977,101325.0
